horizon,set_weighted,rmse_weighted,corr_weighted,set_baseline,rmse_baseline,corr_baseline,rmse_reduction_%,corr_change_%
tplus1,TEST_weighted,0.19010864198207855,0.981059193611145,TEST_baseline,0.18173334002494812,0.9825748205184937,-4.608566571208498,-0.1542505339744869
tplus2,TEST_weighted,0.37062710523605347,0.9271339178085327,TEST_baseline,0.36342379450798035,0.9293699860572815,-1.9820690986470189,-0.2406004371020176
tplus3,TEST_weighted,0.5255838632583618,0.8501190543174744,TEST_baseline,0.5217663645744324,0.8519605398178101,-0.731649056574029,-0.21614680660321323
tplus4,TEST_weighted,0.6589813828468323,0.7456950545310974,TEST_baseline,0.6633477807044983,0.7450142502784729,0.6582365969520166,0.09138137322474561
tplus5,TEST_weighted,0.7657962441444397,0.637061357498169,TEST_baseline,0.7664490938186646,0.6345945000648499,0.08517847819118333,0.3887297215886682
tplus6,TEST_weighted,0.8471169471740723,0.538340151309967,TEST_baseline,0.8511496782302856,0.5328107476234436,0.4737981061801318,1.0377800581513916
